First Name,Last Name,Postal Code,City,State/Region,Website URL,Job Title,Twitter Username,Email,Company Name,Company ID
Louise,Aksnes,0484,OSLO,Viken,http://www.HubSpot.com,CEO,laksnes,Louise.Aksnes@hubspot.com,HubSpot,5584829667
Thorleif,Søreide,6812,FØRDE,Rogaland,http://www.HubSpot.com,Key Account Manager,tsøreide,Thorleif.Søreide@hubspot.com,HubSpot,5584829668
Wiktor,Helgesen,2802,GJØVIK,Nordland,http://www.HubSpot.com,Salesperson,whelgesen,Wiktor.Helgesen@hubspot.com,HubSpot,5584807661
Liza,Farstad,5939,SLETTA,Viken,http://www.HubSpot.com,Key Account Manager,lfarstad,Liza.Farstad@hubspot.com,HubSpot,5584798158
Anne-Grete,Haukeland,1591,SPERREBOTN,Viken,http://www.HubSpot.com,Salesperson,ahaukeland,Anne-Grete.Haukeland@hubspot.com,HubSpot,5584829668
Elvira,Hågensen,1443,DRØBAK,Nordland,http://www.HubSpot.com,Salesperson,ehågensen,Elvira.Hågensen@hubspot.com,HubSpot,5584798158
Elfrid,Heimdal,5443,BØMLO,Nordland,http://www.HubSpot.com,Sales Director,eheimdal,Elfrid.Heimdal@hubspot.com,HubSpot,5584807659
Mathilde,Karlsen,6879,SOLVORN,Viken,http://www.HubSpot.com,CEO,mkarlsen,Mathilde.Karlsen@hubspot.com,HubSpot,5584838620
Gulbrand,Myren,1401,SKI,Viken,http://www.HubSpot.com,Marketting Director,gmyren,Gulbrand.Myren@hubspot.com,HubSpot,5633013455
Sina,Gabrielsen,1322,HØVIK,Rogaland,http://www.HubSpot.com,CEO,sgabrielsen,Sina.Gabrielsen@hubspot.com,HubSpot,5584807659
Yahya,Øien,7446,TRONDHEIM,Vestfold,http://www.HubSpot.com,Key Account Manager,yøien,Yahya.Øien@hubspot.com,HubSpot,5584838619
Phillip,Haugli,5635,HATLESTRAND,Innlandet,http://www.HubSpot.com,Marketting Director,phaugli,Phillip.Haugli@hubspot.com,HubSpot,5584807661
Sidsel,Liland,6070,TJØRVÅG,Vestland,http://www.HubSpot.com,Key Account Manager,sliland,Sidsel.Liland@hubspot.com,HubSpot,5584829668
Kaja,Fredriksen,2056,ALGARHEIM,Vestfold,http://www.HubSpot.com,Marketting Director,kfredriksen,Kaja.Fredriksen@hubspot.com,HubSpot,5584807661
Lavrans,Hansen,6818,HAUKEDALEN,Vestfold,http://www.HubSpot.com,Key Account Manager,lhansen,Lavrans.Hansen@hubspot.com,HubSpot,5633013455
Igor,Mjøs,5073,BERGEN,Rogaland,http://www.HubSpot.com,Marketting Director,imjøs,Igor.Mjøs@hubspot.com,HubSpot,5584829667
Amanuel,Jahr,3430,SPIKKESTAD,Rogaland,http://www.HubSpot.com,Marketting Director,ajahr,Amanuel.Jahr@hubspot.com,HubSpot,5584829668
Gøran,Sæthre,1733,HAFSLUNDSØY,Agder,http://www.HubSpot.com,CEO,gsæthre,Gøran.Sæthre@hubspot.com,HubSpot,5584807660
Pauline,Aronsen,6504,KRISTIANSUND N,Oslo,http://www.HubSpot.com,Marketting Director,paronsen,Pauline.Aronsen@hubspot.com,HubSpot,5584807660
Sina,Bryn,4025,STAVANGER,Troms,http://www.HubSpot.com,CEO,sbryn,Sina.Bryn@hubspot.com,HubSpot,5584838619
Andrew,Fylling,3631,RØDBERG,Innlandet,http://www.HubSpot.com,Key Account Manager,afylling,Andrew.Fylling@hubspot.com,HubSpot,5584807661
Pavel,Eikenes,9845,TANA,Trøndelag,http://www.HubSpot.com,Key Account Manager,peikenes,Pavel.Eikenes@hubspot.com,HubSpot,5584829667
Asta,Tesfay,3428,GULLAUG,Møre,http://www.HubSpot.com,Salesperson,atesfay,Asta.Tesfay@hubspot.com,HubSpot,5584838620
Torill,Kolstad,9037,TROMSØ,Agder,http://www.HubSpot.com,CEO,tkolstad,Torill.Kolstad@hubspot.com,HubSpot,5584829667
Eigil,Langhelle,1214,OSLO,Innlandet,http://www.HubSpot.com,CEO,elanghelle,Eigil.Langhelle@hubspot.com,HubSpot,5584838619
Yosef,Khalil,9392,STONGLANDSEIDET,Agder,http://www.HubSpot.com,Salesperson,ykhalil,Yosef.Khalil@hubspot.com,HubSpot,5584838619
Odin,Tandberg,2653,VESTRE GAUSDAL,Oslo,http://www.HubSpot.com,Salesperson,otandberg,Odin.Tandberg@hubspot.com,HubSpot,5584807661
Aurora,Gjerde,2818,GJØVIK,Innlandet,http://www.HubSpot.com,Sales Director,agjerde,Aurora.Gjerde@hubspot.com,HubSpot,5584838620
Harry,Lein,3153,TOLVSRØD,Innlandet,http://www.HubSpot.com,Key Account Manager,hlein,Harry.Lein@hubspot.com,HubSpot,5584829667
Jean,Kvalsund,4490,KVINESDAL,Viken,http://www.HubSpot.com,Marketting Director,jkvalsund,Jean.Kvalsund@hubspot.com,HubSpot,5584829668
Helle,Næss,9407,HARSTAD,Agder,http://www.HubSpot.com,Marketting Director,hnæss,Helle.Næss@hubspot.com,HubSpot,5584829667
