First Name,Last Name,City,State/Region,Website URL,Job Title,Twitter Username,Email,Company Name,Company ID
Ronja,Hegge,Åsgårdstrand,Vestland,http://www.HubSpot.com,Key Account Manager,rhegge,Ronja.Hegge@hubspot.com,HubSpot,5584807659
Judith,Samuelsen,Honningsvåg,Viken,http://www.HubSpot.com,Marketting Director,jsamuelsen,Judith.Samuelsen@hubspot.com,HubSpot,5584829668
Thormod,Amundsen,Leknes,Viken,http://www.HubSpot.com,Salesperson,tamundsen,Thormod.Amundsen@hubspot.com,HubSpot,5584798158
Alina,Høyland,Langesund,Trøndelag,http://www.HubSpot.com,Marketting Director,ahøyland,Alina.Høyland@hubspot.com,HubSpot,5584807659
Margit,Sollie,Åsgårdstrand,Agder,http://www.HubSpot.com,Key Account Manager,msollie,Margit.Sollie@hubspot.com,HubSpot,5584798158
Kåre,Ekeland,Stord,Vestfold,http://www.HubSpot.com,Sales Director,kekeland,Kåre.Ekeland@hubspot.com,HubSpot,5584807661
Jack,Westbye,Kirkenes,Viken,http://www.HubSpot.com,CEO,jwestbye,Jack.Westbye@hubspot.com,HubSpot,5584838619
Stella,Krasniqi,Brumunddal,Innlandet,http://www.HubSpot.com,Key Account Manager,skrasniqi,Stella.Krasniqi@hubspot.com,HubSpot,5584839113
Halvdan,Gregersen,Stjørdalshalsen,Vestfold,http://www.HubSpot.com,CEO,hgregersen,Halvdan.Gregersen@hubspot.com,HubSpot,5633013455
Mai-Britt,Anderssen,Haugesund,Agder,http://www.HubSpot.com,Salesperson,manderssen,Mai-Britt.Anderssen@hubspot.com,HubSpot,5584807661
Haagen,Strøm,Stathelle,Rogaland,http://www.HubSpot.com,Marketting Director,hstrøm,Haagen.Strøm@hubspot.com,HubSpot,5584798158
Anthony,Rødal,Lillestrøm,Rogaland,http://www.HubSpot.com,Marketting Director,arødal,Anthony.Rødal@hubspot.com,HubSpot,5584829668
Ramunas,Nese,Langesund,Vestland,http://www.HubSpot.com,Marketting Director,rnese,Ramunas.Nese@hubspot.com,HubSpot,5584807661
Brage,Botnen,Kristiansund,Viken,http://www.HubSpot.com,Salesperson,bbotnen,Brage.Botnen@hubspot.com,HubSpot,5584807660
Maximilian,Hynne,Brønnøysund,Viken,http://www.HubSpot.com,Salesperson,mhynne,Maximilian.Hynne@hubspot.com,HubSpot,5633013455
Aslak,Lied,Vadsø,Nordland,http://www.HubSpot.com,Marketting Director,alied,Aslak.Lied@hubspot.com,HubSpot,5584838619
Agnieszka,Fjørtoft,Tromsø,Oslo,http://www.HubSpot.com,Sales Director,afjørtoft,Agnieszka.Fjørtoft@hubspot.com,HubSpot,5584807659
Ngoc,Larssen,Lyngdal,Viken,http://www.HubSpot.com,Key Account Manager,nlarssen,Ngoc.Larssen@hubspot.com,HubSpot,5584839113
Ausra,Melbye,Ski,Innlandet,http://www.HubSpot.com,Sales Director,amelbye,Ausra.Melbye@hubspot.com,HubSpot,5584798158
Grace,Huseby,Verdalsøra,Trøndelag,http://www.HubSpot.com,Salesperson,ghuseby,Grace.Huseby@hubspot.com,HubSpot,5584839113
Wigdis,Olafsen,Odda,Troms,http://www.HubSpot.com,CEO,wolafsen,Wigdis.Olafsen@hubspot.com,HubSpot,5584838619
