First Name,Last Name,City,State/Region,Website URL,Job Title,Twitter Username,Email,Company Name,Company ID
Hanne,Apeland,Orkanger,Vestland,http://www.HubSpot.com,CEO,hapeland,Hanne.Apeland@hubspot.com,HubSpot,5584807662
Vaida,Lyngstad,Porsgrunn,Trøndelag,http://www.HubSpot.com,Marketting Director,vlyngstad,Vaida.Lyngstad@hubspot.com,HubSpot,5584839113
Nelly,Kleven,Tvedestrand,Viken,http://www.HubSpot.com,Key Account Manager,nkleven,Nelly.Kleven@hubspot.com,HubSpot,5584807659
Edmund,Rian,Mosjøen,Rogaland,http://www.HubSpot.com,Salesperson,erian,Edmund.Rian@hubspot.com,HubSpot,5584807661
Didrik,Aasheim,Levanger,Vestland,http://www.HubSpot.com,Marketting Director,daasheim,Didrik.Aasheim@hubspot.com,HubSpot,5584838620
Nicole,Bauge,Sandnessjøen,Troms,http://www.HubSpot.com,Sales Director,nbauge,Nicole.Bauge@hubspot.com,HubSpot,5584838619
Salman,Åsheim,Halden,Viken,http://www.HubSpot.com,CEO,såsheim,Salman.Åsheim@hubspot.com,HubSpot,5584807662
Anine,Eggen,Moss,Viken,http://www.HubSpot.com,CEO,aeggen,Anine.Eggen@hubspot.com,HubSpot,5584807659
Marija,Norheim,Mandal,Vestfold,http://www.HubSpot.com,Sales Director,mnorheim,Marija.Norheim@hubspot.com,HubSpot,5584807662
Gerd,Longva,Haugesund,Viken,http://www.HubSpot.com,Sales Director,glongva,Gerd.Longva@hubspot.com,HubSpot,5633013455
Idar,Finsrud,Flekkefjord,Nordland,http://www.HubSpot.com,Salesperson,ifinsrud,Idar.Finsrud@hubspot.com,HubSpot,5584807662
Wilma,Fossdal,Førde,Viken,http://www.HubSpot.com,Marketting Director,wfossdal,Wilma.Fossdal@hubspot.com,HubSpot,5633013455
George,Tesfay,Førde,Nordland,http://www.HubSpot.com,Marketting Director,gtesfay,George.Tesfay@hubspot.com,HubSpot,5584807662
Oddmund,Nygård,Kolvereid,Innlandet,http://www.HubSpot.com,Sales Director,onygård,Oddmund.Nygård@hubspot.com,HubSpot,5584838619
Ulrik,Thorkildsen,Ski,Viken,http://www.HubSpot.com,CEO,uthorkildsen,Ulrik.Thorkildsen@hubspot.com,HubSpot,5584807659
Carsten,Melbye,Langesund,Viken,http://www.HubSpot.com,Salesperson,cmelbye,Carsten.Melbye@hubspot.com,HubSpot,5584839113
Amin,Syvertsen,Bodø,Nordland,http://www.HubSpot.com,Sales Director,asyvertsen,Amin.Syvertsen@hubspot.com,HubSpot,5584838619
Laura,Christoffersen,Narvik,Trøndelag,http://www.HubSpot.com,CEO,lchristoffersen,Laura.Christoffersen@hubspot.com,HubSpot,5584838620
Louise,Liu,Leknes,Troms,http://www.HubSpot.com,CEO,lliu,Louise.Liu@hubspot.com,HubSpot,5584829668
Idris,Blindheim,Kongsvinger,Nordland,http://www.HubSpot.com,Sales Director,iblindheim,Idris.Blindheim@hubspot.com,HubSpot,5584807661
Bjørn-Erik,Hermansen,Skien,Rogaland,http://www.HubSpot.com,Key Account Manager,bhermansen,Bjørn-Erik.Hermansen@hubspot.com,HubSpot,5584807661
Sebastian,Aasebø,Grimstad,Innlandet,http://www.HubSpot.com,Sales Director,saasebø,Sebastian.Aasebø@hubspot.com,HubSpot,5584807660
Oliwia,Schei,Hokksund,Møre,http://www.HubSpot.com,CEO,oschei,Oliwia.Schei@hubspot.com,HubSpot,5584807662
Milian,Holthe,Stord,Viken,http://www.HubSpot.com,Marketting Director,mholthe,Milian.Holthe@hubspot.com,HubSpot,5633013455
Melinda,Løken,Ski,Viken,http://www.HubSpot.com,Key Account Manager,mløken,Melinda.Løken@hubspot.com,HubSpot,5584807659
Norbert,Møller,Stord,Vestfold,http://www.HubSpot.com,Salesperson,nmøller,Norbert.Møller@hubspot.com,HubSpot,5584798158
Marco,Tufte,Alta,Agder,http://www.HubSpot.com,Marketting Director,mtufte,Marco.Tufte@hubspot.com,HubSpot,5584838620
Linn,Halle,Oslo,Oslo,http://www.HubSpot.com,Key Account Manager,lhalle,Linn.Halle@hubspot.com,HubSpot,5584807659
Marko,Selvik,Tromsø,Vestland,http://www.HubSpot.com,Salesperson,mselvik,Marko.Selvik@hubspot.com,HubSpot,5584807662
Njål,Kolnes,Rjukan,Troms,http://www.HubSpot.com,Salesperson,nkolnes,Njål.Kolnes@hubspot.com,HubSpot,5584829667
Betina,Haavik,Flekkefjord,Agder,http://www.HubSpot.com,Sales Director,bhaavik,Betina.Haavik@hubspot.com,HubSpot,5584807662
Boguslaw,Granås,Namsos,Agder,http://www.HubSpot.com,CEO,bgranås,Boguslaw.Granås@hubspot.com,HubSpot,5584807660
Daniella,Tønnesen,Svolvær,Oslo,http://www.HubSpot.com,CEO,dtønnesen,Daniella.Tønnesen@hubspot.com,HubSpot,5584839113
Gulbrand,Marthinussen,Hamar,Agder,http://www.HubSpot.com,Key Account Manager,gmarthinussen,Gulbrand.Marthinussen@hubspot.com,HubSpot,5584838620
Viktorija,Arntsen,Fagernes,Rogaland,http://www.HubSpot.com,Salesperson,varntsen,Viktorija.Arntsen@hubspot.com,HubSpot,5584829667
Sigrid,Bjørnstad,Lillehammer,Trøndelag,http://www.HubSpot.com,CEO,sbjørnstad,Sigrid.Bjørnstad@hubspot.com,HubSpot,5584807662
Ingunn,Ravndal,Fauske,Rogaland,http://www.HubSpot.com,Marketting Director,iravndal,Ingunn.Ravndal@hubspot.com,HubSpot,5584839113
Mia,Garberg,Stavern,Trøndelag,http://www.HubSpot.com,Key Account Manager,mgarberg,Mia.Garberg@hubspot.com,HubSpot,5584839113
Tina,Thorsen,Mandal,Vestland,http://www.HubSpot.com,Key Account Manager,tthorsen,Tina.Thorsen@hubspot.com,HubSpot,5584807662
Rolv,Nordås,Stokmarknes,Vestland,http://www.HubSpot.com,Sales Director,rnordås,Rolv.Nordås@hubspot.com,HubSpot,5584839113
Michel,Bergseth,Levanger,Innlandet,http://www.HubSpot.com,Salesperson,mbergseth,Michel.Bergseth@hubspot.com,HubSpot,5584807659
Vetle,Vårdal,Grimstad,Troms,http://www.HubSpot.com,Key Account Manager,vvårdal,Vetle.Vårdal@hubspot.com,HubSpot,5584838619
Helge,Øien,Stavanger,Møre,http://www.HubSpot.com,Key Account Manager,høien,Helge.Øien@hubspot.com,HubSpot,5584839113
Matheus,Skeie,Moelv,Viken,http://www.HubSpot.com,Sales Director,mskeie,Matheus.Skeie@hubspot.com,HubSpot,5584798158
Andrew,Holen,Sandnessjøen,Troms,http://www.HubSpot.com,CEO,aholen,Andrew.Holen@hubspot.com,HubSpot,5584807661
Hulda,Olstad,Finnsnes,Møre,http://www.HubSpot.com,Sales Director,holstad,Hulda.Olstad@hubspot.com,HubSpot,5584829668
Nanna,Vårdal,Svelvik,Møre,http://www.HubSpot.com,Sales Director,nvårdal,Nanna.Vårdal@hubspot.com,HubSpot,5633013455
Oddny,Skogly,Moss,Nordland,http://www.HubSpot.com,Marketting Director,oskogly,Oddny.Skogly@hubspot.com,HubSpot,5584838619
Alexandru,Egge,Tønsberg,Vestland,http://www.HubSpot.com,Salesperson,aegge,Alexandru.Egge@hubspot.com,HubSpot,5584829667
Martinius,Nyhus,Notodden,Trøndelag,http://www.HubSpot.com,Sales Director,mnyhus,Martinius.Nyhus@hubspot.com,HubSpot,5633013455
Fride,Ommundsen,Åsgårdstrand,Trøndelag,http://www.HubSpot.com,Salesperson,fommundsen,Fride.Ommundsen@hubspot.com,HubSpot,5633013455
Oddleif,Dybdahl,Bryne,Vestfold,http://www.HubSpot.com,Salesperson,odybdahl,Oddleif.Dybdahl@hubspot.com,HubSpot,5584807660
Signy,Ofstad,Kristiansund,Agder,http://www.HubSpot.com,Salesperson,sofstad,Signy.Ofstad@hubspot.com,HubSpot,5584807662
Marcin,Sørheim,MoiRana,Innlandet,http://www.HubSpot.com,Salesperson,msørheim,Marcin.Sørheim@hubspot.com,HubSpot,5584807661
Elling,Haile,Lillesand,Oslo,http://www.HubSpot.com,CEO,ehaile,Elling.Haile@hubspot.com,HubSpot,5584807660
Hans-Petter,Vestli,Brumunddal,Møre,http://www.HubSpot.com,Sales Director,hvestli,Hans-Petter.Vestli@hubspot.com,HubSpot,5584807661
Stian,Green,Sandefjord,Rogaland,http://www.HubSpot.com,CEO,sgreen,Stian.Green@hubspot.com,HubSpot,5584807661
Lily,Otterlei,Askim,Nordland,http://www.HubSpot.com,CEO,lotterlei,Lily.Otterlei@hubspot.com,HubSpot,5584807659
Olai,Sundberg,Lillestrøm,Rogaland,http://www.HubSpot.com,CEO,osundberg,Olai.Sundberg@hubspot.com,HubSpot,5584829668
Edita,Storesund,Drøbak,Troms,http://www.HubSpot.com,Sales Director,estoresund,Edita.Storesund@hubspot.com,HubSpot,5584807662
Maya,Reigstad,Åsgårdstrand,Vestland,http://www.HubSpot.com,Salesperson,mreigstad,Maya.Reigstad@hubspot.com,HubSpot,5584829668
Bror,Ryen,Jessheim,Nordland,http://www.HubSpot.com,Key Account Manager,bryen,Bror.Ryen@hubspot.com,HubSpot,5584798158
Kirsti,Fagerland,Flekkefjord,Trøndelag,http://www.HubSpot.com,Salesperson,kfagerland,Kirsti.Fagerland@hubspot.com,HubSpot,5584807660
Liam,Ask,Risør,Vestfold,http://www.HubSpot.com,Key Account Manager,lask,Liam.Ask@hubspot.com,HubSpot,5584807662
Martina,Stangeland,Tromsø,Vestland,http://www.HubSpot.com,Salesperson,mstangeland,Martina.Stangeland@hubspot.com,HubSpot,5584838620
Mike,Hodne,Kongsberg,Viken,http://www.HubSpot.com,Salesperson,mhodne,Mike.Hodne@hubspot.com,HubSpot,5584839113
Liva,Engan,Odda,Nordland,http://www.HubSpot.com,Salesperson,lengan,Liva.Engan@hubspot.com,HubSpot,5633013455
Karin,Fjørtoft,Molde,Oslo,http://www.HubSpot.com,Sales Director,kfjørtoft,Karin.Fjørtoft@hubspot.com,HubSpot,5584807662
Wigdis,Kroken,Drøbak,Trøndelag,http://www.HubSpot.com,Salesperson,wkroken,Wigdis.Kroken@hubspot.com,HubSpot,5584838619
Ramunas,Holsen,Horten,Troms,http://www.HubSpot.com,CEO,rholsen,Ramunas.Holsen@hubspot.com,HubSpot,5584838619
Valborg,Petersen,Leknes,Rogaland,http://www.HubSpot.com,Marketting Director,vpetersen,Valborg.Petersen@hubspot.com,HubSpot,5584839113
Andres,Hestnes,Stord,Agder,http://www.HubSpot.com,Salesperson,ahestnes,Andres.Hestnes@hubspot.com,HubSpot,5633013455
Hans,Trones,Fredrikstad,Oslo,http://www.HubSpot.com,CEO,htrones,Hans.Trones@hubspot.com,HubSpot,5584839113
Jack,Haraldsen,Langesund,Vestfold,http://www.HubSpot.com,Marketting Director,jharaldsen,Jack.Haraldsen@hubspot.com,HubSpot,5584839113
Gro,Garnes,Tvedestrand,Rogaland,http://www.HubSpot.com,Key Account Manager,ggarnes,Gro.Garnes@hubspot.com,HubSpot,5584807662
Linas,Rønneberg,Drammen,Innlandet,http://www.HubSpot.com,Sales Director,lrønneberg,Linas.Rønneberg@hubspot.com,HubSpot,5584798158
Brynjar,Våge,Kirkenes,Troms,http://www.HubSpot.com,Sales Director,bvåge,Brynjar.Våge@hubspot.com,HubSpot,5584807660
Ruta,Hamre,Lillehammer,Agder,http://www.HubSpot.com,Sales Director,rhamre,Ruta.Hamre@hubspot.com,HubSpot,5584807661
Louis,Egeland,Kristiansand,Vestfold,http://www.HubSpot.com,Salesperson,legeland,Louis.Egeland@hubspot.com,HubSpot,5584807662
Charlie,Osland,Steinkjer,Innlandet,http://www.HubSpot.com,Marketting Director,cosland,Charlie.Osland@hubspot.com,HubSpot,5633013455
Snefrid,Otterlei,Hamar,Nordland,http://www.HubSpot.com,Marketting Director,sotterlei,Snefrid.Otterlei@hubspot.com,HubSpot,5584807662
Olea,Rolland,Trondheim,Agder,http://www.HubSpot.com,Key Account Manager,orolland,Olea.Rolland@hubspot.com,HubSpot,5584829667
Mirjam,Løvold,Kragerø,Innlandet,http://www.HubSpot.com,Sales Director,mløvold,Mirjam.Løvold@hubspot.com,HubSpot,5584807661
